2026-04-12T18:16:26.543841+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-12T18:17:01.671977+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-12T18:17:36.523768+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-12T18:18:11.807171+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-12T18:18:47.808665+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-12T18:19:23.252503+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-12T18:19:58.286233+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-12T18:20:34.682401+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-12T18:21:09.720262+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:22:07.678059+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:22:44.491723+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:23:19.665164+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:23:57.773551+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:24:33.524764+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:25:34.741417+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:26:15.056159+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:26:50.036239+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:27:30.727811+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:28:11.160081+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:28:57.440599+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-12T18:29:38.272176+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T18:30:13.234728+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T18:30:48.574517+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T18:31:24.723707+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T18:32:01.236245+00:00 | Creepin F/The Weeknd, 21 Savage | Metro Boomin | source:amperwave-api
2026-04-12T18:32:36.816220+00:00 | Creepin F/The Weeknd, 21 Savage | Metro Boomin | source:amperwave-api
2026-04-12T18:33:17.291118+00:00 | Creepin F/The Weeknd, 21 Savage | Metro Boomin | source:amperwave-api
2026-04-12T18:33:58.201679+00:00 | Creepin F/The Weeknd, 21 Savage | Metro Boomin | source:amperwave-api
2026-04-12T18:34:34.791416+00:00 | Creepin F/The Weeknd, 21 Savage | Metro Boomin | source:amperwave-api
2026-04-12T18:35:10.702442+00:00 | Creepin F/The Weeknd, 21 Savage | Metro Boomin | source:amperwave-api
2026-04-12T18:35:47.982413+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T18:36:33.025920+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T18:37:08.600030+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T18:38:07.592680+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T18:38:44.485122+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T18:39:19.250905+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T18:39:58.694678+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:40:34.929802+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:41:37.242789+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:42:13.629968+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:43:07.879230+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:43:44.051869+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:44:38.978421+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-12T18:45:17.063148+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T18:45:54.242084+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T18:46:30.249072+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T18:47:06.796494+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T18:47:41.790242+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T18:48:16.961072+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T18:48:53.436719+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T18:49:29.828562+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T18:50:06.897438+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T18:50:43.153512+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-12T18:51:21.878956+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-12T18:51:58.057634+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-12T18:52:33.777418+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-12T18:53:09.335889+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-12T18:54:06.203373+00:00 | Promiscuous | Timbaland And Nelly Furtado | source:amperwave-api
2026-04-12T18:54:43.121663+00:00 | Promiscuous | Timbaland And Nelly Furtado | source:amperwave-api
2026-04-12T18:55:40.968984+00:00 | Promiscuous | Timbaland And Nelly Furtado | source:amperwave-api
2026-04-12T18:56:16.407041+00:00 | Promiscuous | Timbaland And Nelly Furtado | source:amperwave-api
2026-04-12T18:57:51.137814+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-12T18:58:26.391450+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-12T18:59:02.127733+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-12T18:59:37.197116+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-12T19:00:38.235318+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-12T19:01:13.917498+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-12T19:01:49.495397+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:02:24.456601+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:03:00.678655+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:03:35.989896+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:04:11.250728+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:04:46.818885+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:05:21.517191+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:05:57.220835+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:06:32.640084+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:07:29.354084+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:08:05.658050+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:09:03.015941+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:09:37.933923+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:10:37.916952+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:11:12.901084+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:11:47.928368+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:12:22.791605+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:12:57.586590+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:13:55.902059+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:14:31.260553+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:15:33.367778+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:16:08.523481+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:16:43.824474+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:17:18.527740+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:17:53.512527+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:18:28.978128+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:19:03.649872+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:19:40.160861+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:20:15.616441+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:20:50.988363+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:21:26.487654+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:22:32.000084+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:23:06.565081+00:00 | Where Is My Husband! | Raye | source:amperwave-api
